,index,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,Seed,BS,LR,ME,OPT,Band
6,6,0.149,0.469,0.04,0.136,0.379,-1.0,53,4,0.001,130,SGD,b2_b3_b4
9,9,0.146,0.497,0.048,0.128,0.472,-1.0,18,4,0.001,130,SGD,b2_b3_b4
11,11,0.159,0.543,0.042,0.142,0.384,-1.0,71,4,0.001,130,SGD,b2_b3_b4
16,16,0.167,0.491,0.059,0.154,0.389,-1.0,42,4,0.001,130,SGD,b2_b3_b4
26,26,0.156,0.528,0.064,0.133,0.452,-1.0,89,4,0.001,130,SGD,b2_b3_b4
31,31,0.13,0.408,0.05,0.118,0.313,-1.0,18,2,0.0005,130,SGD,b2_b4
39,39,0.102,0.339,0.031,0.091,0.396,-1.0,42,2,0.0005,130,SGD,b2_b4
47,47,0.113,0.432,0.013,0.108,0.232,-1.0,53,2,0.0005,130,SGD,b2_b4
51,51,0.112,0.424,0.015,0.1,0.289,-1.0,71,2,0.0005,130,SGD,b2_b4
58,58,0.173,0.567,0.056,0.156,0.386,-1.0,53,4,0.001,130,SGD,b2_b3_b8
61,61,0.188,0.517,0.11,0.174,0.389,-1.0,71,4,0.001,130,SGD,b2_b3_b8
66,66,0.158,0.518,0.064,0.143,0.432,-1.0,42,4,0.001,130,SGD,b2_b3_b8
81,81,0.158,0.476,0.057,0.144,0.411,-1.0,71,2,0.001,130,SGD,b2_b3
85,85,0.112,0.398,0.034,0.102,0.352,-1.0,42,2,0.001,130,SGD,b2_b3
99,99,0.1,0.329,0.018,0.084,0.289,-1.0,53,2,0.001,130,SGD,b2_b3
102,102,0.111,0.374,0.02,0.1,0.338,-1.0,18,2,0.001,130,SGD,b2_b3
107,107,0.128,0.389,0.037,0.12,0.309,-1.0,89,2,0.001,130,SGD,b2_b3
117,117,0.15,0.514,0.059,0.138,0.293,-1.0,42,1,0.001,130,SGD,b2_b4_b8
118,118,0.145,0.465,0.05,0.139,0.313,-1.0,71,1,0.001,130,SGD,b2_b4_b8
