,index,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,Seed,BS,LR,ME,OPT,Band
11,11,0.399,0.805,0.343,0.399,-1.0,-1.0,42,3,0.0009,30,SGD,b3_b5_b7_b11
17,17,0.399,0.812,0.325,0.399,-1.0,-1.0,18,3,0.0009,30,SGD,b3_b5_b7_b11
19,19,0.413,0.797,0.4,0.413,-1.0,-1.0,71,3,0.0009,30,SGD,b3_b5_b7_b11
31,31,0.41,0.82,0.354,0.41,-1.0,-1.0,89,3,0.0009,30,SGD,b3_b5_b7_b11
32,32,0.427,0.83,0.394,0.427,-1.0,-1.0,53,3,0.0009,30,SGD,b3_b5_b7_b11
82,82,0.455,0.829,0.452,0.455,-1.0,-1.0,18,2,0.0009,30,SGD,b3_b4_b7
105,105,0.455,0.836,0.456,0.455,-1.0,-1.0,53,2,0.0009,30,SGD,b3_b4_b7
110,110,0.451,0.837,0.436,0.451,-1.0,-1.0,89,2,0.0009,30,SGD,b3_b4_b7
120,120,0.447,0.832,0.424,0.447,-1.0,-1.0,42,2,0.0009,30,SGD,b3_b4_b7
124,124,0.443,0.831,0.433,0.443,-1.0,-1.0,71,2,0.0009,30,SGD,b3_b4_b7
149,149,0.388,0.803,0.321,0.388,-1.0,-1.0,18,2,0.0009,30,SGD,b3_b4_b7_b11
171,171,0.409,0.809,0.368,0.409,-1.0,-1.0,53,2,0.0009,30,SGD,b3_b4_b7_b11
176,176,0.428,0.815,0.403,0.428,-1.0,-1.0,89,2,0.0009,30,SGD,b3_b4_b7_b11
186,186,0.399,0.801,0.363,0.399,-1.0,-1.0,42,2,0.0009,30,SGD,b3_b4_b7_b11
190,190,0.414,0.804,0.382,0.414,-1.0,-1.0,71,2,0.0009,30,SGD,b3_b4_b7_b11
199,199,0.0,0.0,0.0,0.0,-1.0,-1.0,89,2,0.008,30,SGD,b8_b11
204,204,0.0,0.0,0.0,0.0,-1.0,-1.0,42,2,0.008,30,SGD,b8_b11
